Camel Activate Filter Cigarrette;6.00 ;0.40 ;5.00
Camel Filter ;10.00 ;0.80 ;10.00
Camel Subtle Blue ;6.00 ;0.50 ;7.00
Camel Activate Mint & Purple;6.00 ;0.40 ;5.00
Camel Authentic;6.00 ;0.60 ;6.00
Camel Soft;10.00 ;0.80 ;11.00
Kent Silver;5.00 ;0.40 ;10.00
Kent Silvet Menthol;5.00 ;0.40 ;6.00
Kent Mintek;1.00 ;0.10 ;2.00
Kent HD Blue;7.00 ;0.70 ;10.00
Kent iboost Menthol Fresh;7.00 ;0.50 ;7.00
Pall Mall Red;10.00 ;0.80 ;11.00
Pall Mall Blue;7.00 ;0.60 ;9.00
Pall Mall Menthol;10.00 ;0.80 ;10.00
Pall Mall Menthol Plus;7.00 ;0.60 ;8.00
Pall Mall Menthol Max;3.00 ;0.30 ;4.00
Pall Mall Click on;6.00 ;0.50 ;6.00
Pall Mall Douple Capsule;7.00 ;0.50 ;6.00
North State Filter;9.00 ;0.80 ;9.00
North State Valkea;8.00 ;0.80 ;9.00
Lucky Strike Red;9.00 ;0.90 ;10.00
Lucky Strike Blue;7.00 ;0.60 ;8.00
Prince Red;10.00 ;0.90 ;10.00
Prince White;8.00 ;0.70 ;9.00
Bonus Blue;6.00 ;0.50 ;8.00
Bonus Green;6.00 ;0.50 ;8.50
Bonus Red;9.50 ;0.75 ;10.00
Colt Soft;10.00 ;0.75 ;10.00
Smart Blue Additive Free;6.50 ;0.65 ;6.50
Smart Blue;6.00 ;0.50 ;8.00
Smart Green;6.00 ;0.50 ;8.50
Smart Red;10.00 ;0.80 ;10.00
West Blue;7.00 ;0.60 ;7.00
West Duo;7.00 ;0.60 ;7.00
West Menthol;7.00 ;0.60 ;7.00
West Red;10.00 ;0.80 ;10.00
West Supermenthol;7.50 ;0.70 ;7.50
Belmont Menthol;4.00 ;0.50 ;5.00
Belmont Blue;6.00 ;0.50 ;7.00
Belmont Red;8.00 ;0.70 ;9.00
Belmont Silver;4.00 ;0.40 ;5.00
Chesterfield Blue;6.00 ;0.50 ;7.00
Chesterfield Cassic Blue;6.00 ;0.50 ;7.00
Chesterfield Classic Red;10.00 ;0.80 ;10.00
Chesterfield Press Menthol;4.00 ;0.30 ;3.00
Chesterfiled Menthol;6.00 ;0.50 ;7.00
Chesterfield Red;10.00 ;0.80 ;10.00
L&M Additive Free (Blue);6.00 ;0.60 ;8.00
L&M Additive Free (Red);8.00 ;0.70 ;9.00
L&M Blue Label;6.00 ;0.50 ;7.00
L&M Cool (Menthol);6.00 ;0.50 ;7.00
L&M Double Forward (Menthol);6.00 ;0.40 ;6.00
L&M Fast Forward (Menthol);6.00 ;0.40 ;6.00
L&M Forward (Menthol);6.00 ;0.50 ;6.00
L&M Full Flavor;10.00 ;0.80 ;10.00
L&M Full Flavor (Menthol);10.00 ;0.70 ;10.00
L&M Green Label Cool (Menthol);6.00 ;0.40 ;7.00
L&M Cool (Menthol);6.00 ;0.40 ;7.00
L&M Natural Mint (Menthol);6.00 ;0.50 ;7.00
L&M Original Label;10.00 ;0.80 ;10.00
L&M Label silver Label;3.00 ;0.30 ;4.00
Marlboro (Red);10.00 ;0.80 ;10.00
Marlboro (Red) Beyond (Menthol);8.00 ;0.60 ;8.00
Marlboro (Silver);3.00 ;0.30 ;4.00
Marlboro Gold Original;6.00 ;0.50 ;7.00
Marlboro Gold Original;9.00 ;0.70 ;10.00
Marlboro Gold Beyond (Menthol);6.00 ;0.50 ;6.00
Marlboro Ice Blast (Menthol);8.00 ;0.50 ;9.00
Marlboro Menthol;10.00 ;0.70 ;10.00
Marlboro White Mint (Menthol);8.00 ;0.60 ;9.00
Parliament Aqua Blue;5.00 ;0.40 ;7.00
Couture Menthol Slim;6.00 ;0.50 ;6.00
Gouldfield 0.3;3.00 ;0.30 ;4.00
Gouldfield Fine Flavour;7.00 ;0.60 ;7.00
Gouldfield Full Flavour;10.00 ;0.80 ;10.00
Gouldfield Menthol;9.00 ;0.80 ;10.00
Mark 1 Gold;6.00 ;0.50 ;7.00
Mark 1 Menthol;10.00 ;0.80 ;10.00
Mark 1 Red;10.00 ;0.80 ;10.00
